Count,avg,ROI px,R1-R2,G1-G2,R1-G1,R1-G2,R2-G1,R2-G2,PCCcrtion,PCCmean,PCCcorrect
234,12,775,0.9683,0.90252,0.93537,0.92769,0.91445,0.94559,1.06971,0.93078,0.99566
235,12,775,0.96851,0.90196,0.94559,0.91093,0.92696,0.92569,1.06993,0.92729,0.99214
236,12,775,0.96867,0.90024,0.92569,0.93944,0.90892,0.95012,1.07086,0.93104,0.99702
237,12,775,0.96829,0.90497,0.95012,0.9157,0.93807,0.92952,1.06827,0.93335,0.99707
238,12,775,0.96757,0.91256,0.92952,0.94572,0.91919,0.94826,1.06421,0.93567,0.99575
239,12,775,0.96847,0.92392,0.94826,0.93013,0.9464,0.93521,1.05715,0.94,0.99372
240,12,775,0.96776,0.92802,0.93521,0.9642,0.92716,0.95155,1.0552,0.94453,0.99667
241,13,775,0.96408,0.89655,0.93975,0.92492,0.9107,0.94349,1.07561,0.92972,1.00001
242,13,775,0.96379,0.88769,0.94349,0.89927,0.92348,0.92657,1.08113,0.9232,0.9981
243,13,775,0.96708,0.89337,0.92657,0.93645,0.90374,0.94864,1.07585,0.92885,0.9993
244,13,775,0.96659,0.89965,0.94864,0.91197,0.93533,0.92333,1.07237,0.92982,0.9971
245,13,775,0.9678,0.89616,0.92333,0.94061,0.91137,0.94631,1.07378,0.9304,0.99905
246,13,775,0.96775,0.90588,0.94631,0.92455,0.9405,0.93281,1.06803,0.93604,0.99972
247,13,775,0.96612,0.91868,0.93281,0.95248,0.92033,0.94631,1.06145,0.93798,0.99563
248,14,775,0.96247,0.88903,0.93033,0.93426,0.8991,0.94542,1.08106,0.92728,1.00244
249,14,775,0.96135,0.88464,0.94542,0.89898,0.93126,0.9223,1.08437,0.92449,1.00248
250,14,775,0.96581,0.88873,0.9223,0.93622,0.90572,0.94412,1.07937,0.92709,1.00067
251,14,775,0.96571,0.89912,0.94412,0.91965,0.93695,0.92517,1.07317,0.93147,0.99963
252,14,775,0.96554,0.89945,0.92517,0.9453,0.91262,0.94264,1.07307,0.93143,0.99949
253,15,775,0.96117,0.88297,0.92613,0.93273,0.90166,0.93977,1.08549,0.92508,1.00416
254,15,775,0.9608,0.88425,0.93977,0.90764,0.93162,0.92348,1.08491,0.92563,1.00422
255,15,775,0.96385,0.89321,0.92348,0.94133,0.90611,0.93905,1.07775,0.92749,0.99961
256,16,775,0.95892,0.88623,0.92519,0.9368,0.90149,0.93391,1.08476,0.92435,1.0027
