Count,avg,ROI px,R1-R2,G1-G2,R1-G1,R1-G2,R2-G1,R2-G2,PCCcrtion,PCCmean,PCCcorrect
162,7,737,0.24068,0.2635,0.32414,0.2932,0.24242,0.30843,3.97093,0.29205,1.1597
163,7,736,0.23081,0.25468,0.27422,0.22303,0.27168,0.31073,4.12452,0.26991,1.11327
164,7,746,0.23944,0.25237,0.30856,0.26102,0.22264,0.2609,4.06801,0.26328,1.07102
165,7,745,0.25526,0.25042,0.25017,0.24995,0.23682,0.27955,3.95522,0.25412,1.0051
166,7,740,0.2551,0.23553,0.25289,0.25171,0.26187,0.2759,4.07962,0.26059,1.06312
167,7,740,0.26033,0.25896,0.25844,0.27024,0.23841,0.25461,3.85144,0.25542,0.98374
168,7,747,0.30214,0.26466,0.26195,0.2617,0.28367,0.2914,3.53634,0.27468,0.97138
169,7,740,0.2896,0.2662,0.27209,0.27333,0.28014,0.23832,3.60156,0.26597,0.9579
170,7,740,0.27813,0.21662,0.22014,0.23921,0.24767,0.28006,4.07402,0.24677,1.00534
171,7,744,0.26799,0.25349,0.26365,0.24462,0.21297,0.20262,3.83668,0.23096,0.88613
172,7,743,0.28743,0.24723,0.19127,0.25878,0.20466,0.2785,3.75132,0.2333,0.8752
173,7,742,0.30401,0.25626,0.26582,0.24386,0.26239,0.20101,3.58278,0.24327,0.87159
174,7,735,0.33548,0.25825,0.19798,0.29947,0.24243,0.28894,3.3974,0.25721,0.87383
175,7,740,0.31061,0.2006,0.27157,0.27555,0.27406,0.2003,4.00612,0.25537,1.02305
176,8,754,0.33967,0.26751,0.31329,0.33996,0.30747,0.38224,3.31743,0.33574,1.11379
177,8,753,0.33477,0.25475,0.36049,0.30152,0.3451,0.3049,3.4243,0.328,1.12319
178,8,746,0.30916,0.24747,0.29646,0.32212,0.30576,0.35537,3.61531,0.31993,1.15664
179,8,748,0.28512,0.30106,0.33005,0.31993,0.29242,0.31253,3.41318,0.31373,1.07082
180,8,746,0.28976,0.29846,0.30562,0.28306,0.31514,0.35744,3.40047,0.31531,1.07222
181,8,748,0.25927,0.25959,0.33975,0.30368,0.25449,0.29619,3.8546,0.29853,1.1507
182,8,750,0.25101,0.26747,0.27723,0.25964,0.27136,0.31728,3.85941,0.28138,1.08595
183,8,748,0.28439,0.25568,0.30034,0.28327,0.25469,0.30146,3.70848,0.28494,1.05669
184,8,749,0.29188,0.2568,0.27903,0.27081,0.26659,0.29752,3.65259,0.27849,1.0172
185,8,752,0.33353,0.27767,0.29952,0.29673,0.30709,0.32022,3.28599,0.30589,1.00515
186,8,746,0.31414,0.28791,0.30679,0.30745,0.29536,0.28593,3.32511,0.29888,0.99382
187,8,752,0.32694,0.25648,0.27949,0.30278,0.29001,0.32884,3.45331,0.30028,1.03696
188,8,753,0.31349,0.28407,0.32436,0.30912,0.28873,0.25629,3.351,0.29463,0.98729
189,8,749,0.30294,0.28332,0.24723,0.28061,0.26063,0.3172,3.41337,0.27642,0.94352
190,8,744,0.31161,0.29489,0.30795,0.26711,0.25191,0.2291,3.29888,0.26402,0.87096
191,8,746,0.34126,0.28134,0.21728,0.29325,0.25811,0.32439,3.22733,0.27326,0.88189
192,8,748,0.33091,0.25838,0.31537,0.29472,0.30195,0.23732,3.41992,0.28734,0.98268
193,9,755,0.35153,0.28375,0.34108,0.34816,0.32295,0.39119,3.16631,0.35084,1.11088
194,9,753,0.3341,0.31329,0.37449,0.32463,0.33465,0.33276,3.09092,0.34163,1.05596
195,9,751,0.31943,0.29633,0.32296,0.3131,0.32827,0.36535,3.25027,0.33242,1.08045
196,9,752,0.29752,0.30301,0.34438,0.32713,0.2987,0.31387,3.33055,0.32102,1.06918
197,9,756,0.29935,0.29954,0.30369,0.30158,0.3189,0.35942,3.3395,0.3209,1.07164
198,9,751,0.29904,0.27034,0.33611,0.31812,0.28295,0.32703,3.51705,0.31605,1.11157
199,9,754,0.29684,0.28844,0.31359,0.2807,0.31381,0.33101,3.41749,0.30978,1.05867
200,9,762,0.3545,0.29475,0.3273,0.32167,0.31614,0.34613,3.09363,0.32781,1.01413
201,9,755,0.34833,0.29023,0.3221,0.30957,0.32209,0.32115,3.14508,0.31873,1.00242
202,9,763,0.35639,0.28147,0.31745,0.33276,0.31938,0.35459,3.15736,0.33104,1.04522
203,9,758,0.3484,0.30306,0.34916,0.33477,0.30507,0.30563,3.07749,0.32366,0.99606
204,9,758,0.34394,0.31055,0.28414,0.32228,0.2964,0.35708,3.05981,0.31497,0.96376
205,9,750,0.34778,0.32769,0.34747,0.32264,0.31639,0.27615,2.96221,0.31566,0.93506
206,9,748,0.34639,0.30713,0.2577,0.29776,0.29845,0.35656,3.06587,0.30262,0.92778
207,9,751,0.33566,0.30447,0.34909,0.31635,0.29829,0.26216,3.12807,0.30647,0.95867
208,10,757,0.35547,0.33178,0.35057,0.33719,0.34092,0.40491,2.91189,0.3584,1.04362
209,10,756,0.34429,0.31484,0.39359,0.33797,0.33918,0.33657,3.03735,0.35183,1.06863
210,10,756,0.33067,0.3066,0.32078,0.34038,0.3233,0.37662,3.14064,0.34027,1.06867
211,10,758,0.32949,0.31409,0.35987,0.34053,0.31891,0.33864,3.10852,0.33949,1.05531
212,10,761,0.3462,0.31717,0.33729,0.32537,0.352,0.36937,3.01778,0.34601,1.04418
213,10,760,0.35927,0.29924,0.35733,0.35872,0.33783,0.3622,3.04983,0.35402,1.0797
214,10,756,0.35276,0.31987,0.3474,0.32271,0.35799,0.35475,2.97696,0.34571,1.02917
215,10,767,0.37516,0.30303,0.34745,0.35519,0.32775,0.3705,2.96587,0.35022,1.03872
216,10,759,0.37371,0.31114,0.35916,0.33931,0.3328,0.3486,2.93264,0.34497,1.01167
217,10,762,0.376,0.32587,0.33314,0.34558,0.32628,0.38408,2.85684,0.34727,0.99209
218,10,752,0.37629,0.34117,0.36775,0.34838,0.32135,0.31672,2.79096,0.33855,0.94488
219,10,759,0.37853,0.34429,0.30257,0.33971,0.34211,0.39149,2.77006,0.34397,0.95282
220,10,754,0.36453,0.34542,0.38996,0.36414,0.3528,0.30764,2.81814,0.35364,0.9966
221,11,763,0.36107,0.33764,0.35622,0.36279,0.34297,0.41286,2.86401,0.36871,1.05599
222,11,758,0.36433,0.32612,0.398,0.35135,0.34698,0.35921,2.90111,0.36389,1.05567
223,11,761,0.36881,0.33203,0.35516,0.36021,0.35219,0.3852,2.85766,0.36319,1.03787
224,11,761,0.38554,0.33158,0.36366,0.37082,0.35664,0.36765,2.79687,0.36469,1.02
225,11,762,0.39327,0.32552,0.36174,0.36058,0.39034,0.38461,2.79489,0.37432,1.04618
226,11,763,0.38069,0.3119,0.37085,0.38798,0.34301,0.38897,2.90204,0.3727,1.0816
227,11,762,0.37023,0.33233,0.37371,0.34738,0.36615,0.37126,2.8509,0.36463,1.03951
228,11,768,0.39471,0.34515,0.3674,0.37404,0.33792,0.39863,2.70929,0.3695,1.00108
229,11,761,0.40112,0.35789,0.38449,0.35017,0.35538,0.35819,2.63927,0.36206,0.95557
230,11,764,0.40733,0.3698,0.34718,0.36114,0.36325,0.42085,2.57656,0.3731,0.96133
231,11,761,0.40046,0.352,0.40922,0.38259,0.36686,0.33545,2.66348,0.37353,0.9949
232,12,765,0.39402,0.34943,0.38455,0.37488,0.36696,0.4125,2.69503,0.38472,1.03683
233,12,763,0.41972,0.34098,0.40254,0.38888,0.38218,0.39115,2.64337,0.39119,1.03405
234,12,760,0.41583,0.34368,0.38077,0.39214,0.38321,0.39697,2.64522,0.38827,1.02707
235,12,766,0.40782,0.32603,0.38546,0.40069,0.37713,0.39354,2.74247,0.3892,1.06738
236,12,766,0.41236,0.34475,0.39146,0.38417,0.39322,0.40009,2.65222,0.39224,1.04029
237,12,765,0.40393,0.36187,0.39371,0.40673,0.36168,0.41689,2.6156,0.39475,1.03252
238,12,758,0.39715,0.37577,0.39262,0.35517,0.38373,0.3766,2.5886,0.37703,0.97598
239,12,767,0.4252,0.38165,0.37232,0.38943,0.37232,0.43362,2.4824,0.39192,0.97291
240,12,762,0.41845,0.35952,0.41652,0.38083,0.37845,0.36665,2.57821,0.38561,0.99419
241,13,767,0.44203,0.36667,0.41356,0.41073,0.41148,0.42753,2.48391,0.41582,1.03287
242,13,765,0.4447,0.3484,0.41896,0.41625,0.40059,0.41094,2.54052,0.41169,1.0459
243,13,763,0.43263,0.35957,0.39907,0.41226,0.39652,0.41195,2.5354,0.40495,1.02671
244,13,769,0.42888,0.37825,0.40682,0.41766,0.38811,0.42009,2.4828,0.40817,1.01341
245,13,765,0.44125,0.39422,0.411,0.39398,0.41238,0.40977,2.39767,0.40678,0.97533
