Count,avg,ROI px,R1-R2,G1-G2,R1-G1,R1-G2,R2-G1,R2-G2,SRCcrtion,SRCmean,SRCcorrect
107,4,677,0.20992,0.11835,0.10436,0.17004,0.10545,0.14163,6.34429,0.13037,0.82709
108,4,681,0.20711,0.15687,0.12456,0.16032,0.1354,0.14121,5.54792,0.14037,0.77877
109,4,679,0.17479,0.15857,0.10852,0.18278,0.16462,0.20497,6.00656,0.16522,0.99243
110,4,686,0.19705,0.13964,0.15797,0.15431,0.13415,0.1438,6.02832,0.14756,0.88954
111,4,686,0.20527,0.13553,0.11417,0.19452,0.19649,0.18942,5.99537,0.17365,1.04111
112,4,685,0.17329,0.10685,0.16036,0.22136,0.20795,0.12832,7.34906,0.1795,1.31915
113,5,719,0.2513,0.15399,0.19893,0.21753,0.17552,0.25893,5.08336,0.21273,1.08136
114,5,707,0.21815,0.15993,0.25662,0.20799,0.22426,0.24858,5.35379,0.23436,1.25471
115,5,719,0.24361,0.17248,0.27112,0.24545,0.22352,0.26635,4.87836,0.25161,1.22745
116,5,715,0.21077,0.17306,0.24016,0.27347,0.25604,0.24305,5.23603,0.25318,1.32566
117,5,708,0.20427,0.1823,0.25893,0.26596,0.23273,0.27081,5.18219,0.25711,1.33239
118,5,705,0.19152,0.13114,0.23204,0.21506,0.22632,0.24153,6.31005,0.22874,1.44335
119,5,714,0.18046,0.16728,0.20431,0.22597,0.19419,0.27215,5.75559,0.22415,1.29014
120,5,712,0.20727,0.17493,0.23774,0.19608,0.20446,0.24055,5.25172,0.21971,1.15385
121,5,717,0.18017,0.18582,0.2145,0.2075,0.18731,0.25458,5.46514,0.21597,1.18033
122,5,708,0.16783,0.23484,0.24944,0.22864,0.17678,0.22884,5.03701,0.22093,1.1128
123,5,708,0.18231,0.24877,0.21592,0.20259,0.17591,0.22623,4.69559,0.20516,0.96337
124,5,713,0.18475,0.23281,0.22196,0.19477,0.17657,0.18636,4.82182,0.19491,0.93984
125,5,703,0.17993,0.2225,0.16867,0.19184,0.16049,0.16659,4.99781,0.1719,0.85911
126,5,711,0.17714,0.1671,0.15945,0.1325,0.19097,0.18803,5.81231,0.16774,0.97494
127,5,714,0.20296,0.2063,0.18547,0.17276,0.15708,0.15271,4.88697,0.16701,0.81616
128,5,710,0.25199,0.17138,0.14417,0.16711,0.18035,0.20003,4.81196,0.17291,0.83206
129,5,707,0.22034,0.16718,0.20574,0.17086,0.22155,0.14218,5.21023,0.18508,0.96434
130,5,714,0.27724,0.14887,0.13831,0.19501,0.12465,0.20393,4.92236,0.16548,0.81453
131,5,718,0.23722,0.16802,0.16974,0.17535,0.18147,0.15586,5.00881,0.17061,0.85453
132,5,708,0.22268,0.18051,0.11971,0.22103,0.15765,0.19458,4.98783,0.17324,0.86411
133,5,710,0.24445,0.17828,0.16587,0.2139,0.16814,0.15811,4.79019,0.17651,0.8455
134,5,702,0.25184,0.21721,0.13604,0.23118,0.23681,0.2572,4.27558,0.2153,0.92055
135,5,712,0.2203,0.10975,0.21779,0.21425,0.20618,0.16542,6.43098,0.20091,1.29203
136,6,732,0.27114,0.2024,0.26828,0.27113,0.25046,0.32385,4.26873,0.27843,1.18854
137,6,727,0.26137,0.19102,0.30907,0.27523,0.28581,0.25974,4.47535,0.28246,1.26413
